CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2025-03-31;2.01.07.02;Passivos sobre Ativos de Operações Descontinuadas;0.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2026-03-31;2.01.07.02;Passivos sobre Ativos de Operações Descontinuadas;0.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2025-03-31;2.02;Passivo Não Circulante;4083850.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2026-03-31;2.02;Passivo Não Circulante;4862061.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2025-03-31;2.02.01;Empréstimos e Financiamentos;3793978.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2026-03-31;2.02.01;Empréstimos e Financiamentos;4573187.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2025-03-31;2.02.01.01;Empréstimos e Financiamentos;731654.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2026-03-31;2.02.01.01;Empréstimos e Financiamentos;1193983.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2025-03-31;2.02.01.01.01;Em Moeda Nacional;692421.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2026-03-31;2.02.01.01.01;Em Moeda Nacional;1169354.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2025-03-31;2.02.01.01.02;Em Moeda Estrangeira;39233.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2026-03-31;2.02.01.01.02;Em Moeda Estrangeira;24629.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2025-03-31;2.02.01.02;Debêntures;1670183.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2026-03-31;2.02.01.02;Debêntures;2149258.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2025-03-31;2.02.01.03;Financiamento por Arrendamento;1392141.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2026-03-31;2.02.01.03;Financiamento por Arrendamento;1229946.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2025-03-31;2.02.02;Outras Obrigações;227517.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2026-03-31;2.02.02;Outras Obrigações;257486.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2025-03-31;2.02.02.01;Passivos com Partes Relacionadas;0.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2026-03-31;2.02.02.01;Passivos com Partes Relacionadas;0.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2025-03-31;2.02.02.01.01;Débitos com Coligadas;0.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2026-03-31;2.02.02.01.01;Débitos com Coligadas;0.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2025-03-31;2.02.02.01.03;Débitos com Controladores;0.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2026-03-31;2.02.02.01.03;Débitos com Controladores;0.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2025-03-31;2.02.02.01.04;Débitos com Outras Partes Relacionadas;0.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2026-03-31;2.02.02.01.04;Débitos com Outras Partes Relacionadas;0.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2025-03-31;2.02.02.02;Outros;227517.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2026-03-31;2.02.02.02;Outros;257486.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2025-03-31;2.02.02.02.01;Obrigações por Pagamentos Baseados em Ações;0.0000000000;S
